university_name,university_id,university_parent_id,university_short_name,university_name_en,is_from_crimea,registration_year,university_edrpou,university_type_name,university_financing_type_name,university_governance_type_name,post_index,koatuu_id,region_name,koatuu_name,university_address,post_index_u,koatuu_id_u,region_name_u,koatuu_name_u,university_address_u,university_phone,university_email,university_site,university_director_post,university_director_fio,close_date,primitki
"""Вінницький коледж Київського університету культури""",1524,310,.,,,2000,39686400,Заклад вищої освіти,Приватна,,21009,0510100000,Вінницька область,Вінниця,"вул. Стрілецька, 7",21009,0510136300,Вінницька область,Вінниця,"вул. Стрілецька, 7","(044) 284 64 04, (0432) 666 583",,,Директор,Мазуркевич Ольга Павлівна,,
Вінницький кооперативний інститут,256,,ВКІ,Vinnytsia Cooperative Institute,,1957,01788042,Заклад вищої освіти,Приватна,Укоопспілка,21009,0510100000,Вінницька область,Вінниця,"вул. Академіка Янгеля, 59",21009,0510100000,Вінницька область,Вінниця,"вул. Академіка Янгеля, 59",(0432) 61-29-68,admin@vki.vin.ua,http://vki.vin.ua,В.о. ректора,Колотій Світлана Василівна,,
Вінницький навчально-науковий інститут економіки Західноукраїнського національного університету,2786,171,ВННІЕ ЗУНУ,Vinnytsia Educative and Research Institute of West Ukrainian National University,,1995,21722921,Заклад вищої освіти,Державна,Міністерство освіти і науки України,21017,0510100000,Вінницька область,Вінниця,"вул. Гонти, 37",21017,0510136300,Вінницька область,Вінниця,"вул. Гонти, 37",(0432) 55 49 55,vietane@vinnitsa.com,,Директор,Погріщук Борис Васильович,,
Вінницький навчально-науковий центр Одеської національної академії зв'язку ім. О.С. Попова,2950,68,.,,так,2000,33890132,Заклад вищої освіти,Державна,Міністерство освіти і науки України,21050,0510100000,Вінницька область,Вінниця,"вул. Козицького, 22",21050,0510136600,Вінницька область,Вінниця,"вул. Козицького, 22",,,,,,,
Вінницький національний аграрний університет,77,,ВНАУ,Vinnytsia National Agrarian University,так,1982,00497236,Заклад вищої освіти,Державна,Міністерство освіти і науки України,21008,0510100000,Вінницька область,Вінниця,"вул. Сонячна, 3",21008,0510136600,Вінницька область,Вінниця,"вул. Сонячна, 3","(0432) 437230, 560313;",rector@vsau.org,https://vsau.org,Ректор,Мазур Віктор Анатолійович,,
Вінницький національний медичний університет ім. М. І. Пирогова,20,,ВНМУ ім. М.І. Пирогова,"National Pirogov Memorial Medical University, Vinnytsya",так,1921,02010669,Заклад вищої освіти,Державна,Міністерство охорони здоров`я України,21018,0510100000,Вінницька область,Вінниця,"вул. Пирогова, 56",21018,0510136600,Вінницька область,Вінниця,"вул. Пирогова, 56",(0432)570360,admission@vnmu.edu.ua,www.vnmu.edu.ua,Ректор,Мороз Василь Максимович,,
Вінницький національний технічний університет,137,,ВНТУ,Vinnytsia National Technical University,так,1960,02070693,Заклад вищої освіти,Державна,Міністерство освіти і науки України,21021,0510100000,Вінницька область,Вінниця,"вул. Хмельницьке шосе, 95",21021,0510136600,Вінницька область,Вінниця,"вул. Хмельницьке шосе, 95","(043)256-08-48, (043)232-57-18, (043)246-57-72",vntu@vntu.edu.ua,www.vntu.edu.ua,Ректор,Біліченко Віктор Вікторович,,
Донецький національний університет імені Василя Стуса,246,,ДонНУ імені Василя Стуса,Vasyl' Stus Donetsk National University,так,1937,02070803,Заклад вищої освіти,Державна,Міністерство освіти і науки України,21021,0510100000,Вінницька область,Вінниця,"вул. 600-річчя, 21",21021,0510100000,Вінницька область,Вінниця,"вул. 600-річчя, 21",+380 (432) 50-89-48,rector@donnu.edu.ua,www.donnu.edu.ua,Ректор,Гринюк Роман Федорович,,
"Комунальний заклад вищої освіти ""Вінницька академія безперервної освіти""",1396,,"КЗВО ""Вінницька академія безперервної освіти""","Рublic Higher Educational Establishment ""Vinnytsia Аcademy of Сontinuing Еducation""",,2000,02139682,Заклад вищої освіти,Комунальна,Департамент гуманітарної політики Вінницької обласної державної адміністрації,21050,0510100000,Вінницька область,Вінниця,"вул. Грушевського, 13",21050,0510136600,Вінницька область,Вінниця,"вул. Грушевського, 13",(0432) 67 08 85,bil@mail.vinnica.ua,http://academia.vinnica.ua/,Ректор,Дровозюк Степан Іванович,,
"Комунальний заклад вищої освіти ""Вінницький гуманітарно-педагогічний коледж""",416,,.,Communal Higher Education Institution “Vinnytsia Humanities Pedagogical College”,,1931,05486450,Заклад вищої освіти,Комунальна,Департамент гуманітарної політики Вінницької обласної державної адміністрації,21019,0510100000,Вінницька область,Вінниця,"вул. Нагірна, 13",21019,0510137000,Вінницька область,Вінниця,"вул. Нагірна, 13",(0432)57-50-42,vgpk@ua.fm,https://vgpk.edu.ua/,В.о. директора,Войцехівський Костянтин Францович,,
"Приватний вищий навчальний заклад ""Вінницький інститут конструювання одягу і підприємництва""",1387,,ПВНЗ ВІКОП,"Private higher educational establishment ""Vinnytsia Institute of designing of clothes and entrepreneurship""",,1992,33088904,Заклад вищої освіти,Приватна,,21027,0510100000,Вінницька область,Вінниця,"просп. Космонавтів, 42",21027,0510136600,Вінницька область,Вінниця,"просп. Космонавтів, 42",(043)246-69-83,vikop1992@ukr.net,http://vikop.org.ua,В.о. ректора,Соляніченко Микола Олександрович,,
"Приватний вищий навчальний заклад ""Вінницький фінансово-економічний університет""",143,,"ПВНЗ ""ВФЕУ""",Vinnitsya Economical and Financial University,,1994,20115030,Заклад вищої освіти,Приватна,,21037,0510100000,Вінницька область,Вінниця,"вул. Пирогова, 71 А",21037,0510136600,Вінницька область,Вінниця,"вул. Пирогова, 71 А","+38(0432)53-36-80, +38(067)-369-98-38",rektor-vfeu@ukr.net,http://www.vfeu.edu.ua,Ректор,Боднар Тетяна Петрівна,,
"Структурний підрозділ ""Фаховий коледж конструювання одягу"" приватного вищого навчального закладу ""Вінницький інститут конструювання одягу і підприємництва""",1548,1387,"СП ""Фаховий коледж конструювання одягу"" ПВНЗ ВІКОП","The business unit ""Professional college designing clothes"" Private higher education institution "" Vinnytsya Institute designing clothes and Entrepreneurship""",,2000,36150571,Заклад вищої освіти,Приватна,,21021,0510100000,Вінницька область,Вінниця,"просп. Космонавтів, 7",21021,0510136600,Вінницька область,Вінниця,"просп. Космонавтів, 7",,,,директор,Щерба Юрій Анатолійович,,
"Жмеринська філія товариства з обмеженою відповідальністю ""Вінницький коледж менеджменту""",2844,1729,.,"Zhmerynka branch of Limited liability company ""Vinnytsia College of Management""",,2000,38717521,Заклад вищої освіти,Приватна,,23100,0510300000,Вінницька область,Жмеринка,"вул. Училищна, 9",23100,0510300000,Вінницька область,Жмеринка,"вул. Училищна, 9",04332 200 77,,,,Завірюха Ірина Михайлівна,,
"Державний вищий навчальний заклад ""Могилів-Подільський монтажно-економічний коледж""",666,,"Державний вищий навчальний заклад ""Могилів-Подільський монтажно-економічний коледж""",STATE HIGHER EDUCATIONAL INSTITUTION “MOGILEV-PODOLSKYI ASSEMBLY-ECONOMICAL COLLEGE”,,1969,04760727,Заклад вищої освіти,Державна,Міністерство освіти і науки України,24000,0510400000,Вінницька область,Могилів-Подільський,"вул. Василя Стуса, 58",24000,0510400000,Вінницька область,Могилів-Подільський,"вул. Василя Стуса, 58",(04337)-6-41-90,mpmt@ukr.net,mpmek.com.ua,Виконуючий обов'язки директора,Заячковський Володимир Михайлович,,
"Комунальний заклад вищої освіти ""Барський гуманітарно-педагогічний коледж імені Михайла Грушевського""",999,,Барський педколедж,"Municipal Institution of Higher Education ""Bar Humanitarian Pedagogical College named after Mykhailo Hrushevsky""",,1985,02904160,Заклад вищої освіти,Комунальна,Департамент гуманітарної політики Вінницької обласної державної адміністрації,23000,0520210100,Вінницька область,Бар,"майдан Михайла Грушевського, 1",23000,0520210100,Вінницька область,Бар,"майдан Михайла Грушевського, 1",(04341) 2-12-70,bar_bpu01@ukr.net,www.bar-bgpk.com.ua,Директор коледжу,Савчук Петро Нестерович,,
